Model,Val Acc,Test Acc,Val F1 (macro),Test F1 (macro),Train time (s)
SVM_Linear_HOG,1.0,1.0,1.0,1.0,0.6
LogReg_HOG,1.0,1.0,1.0,1.0,1.2
SVM_RBF_HOG,1.0,0.9777777777777777,1.0,0.9820512820512821,1.0
SVM_RBF_CNN,0.9333333333333333,0.9333333333333333,0.9330409356725147,0.8414262820512821,0.2
RandomForest_HOG,0.9777777777777777,0.9333333333333333,0.9833333333333334,0.9438502673796791,0.8
GradientBoosting_HOG,0.8,0.8444444444444444,0.7826839826839826,0.8269260892616156,444.8
KNN_HOG,0.8,0.8222222222222222,0.7988818199344515,0.8437645891690009,0.0
